country_name,iso3,fsi_2011_value,fsi_2013_value,fsi_2015_value,fsi_2018_value,fsi_2020_value,fsi_2022_value,fsi_2025_share,fsi_2025_value,fsi_2011_rank,fsi_2013_rank,fsi_2015_rank,fsi_2018_rank,fsi_2020_rank,fsi_2022_rank,fsi_2025_rank,fsi_2011_score,fsi_2013_score,fsi_2015_score,fsi_2018_score,fsi_2020_score,fsi_2022_score,fsi_2025_score
Cura�ao,CUW,,106.41,67.8111,105.658,103.6047272,117.38350146156,0.00420553971675339050,149.8909905435747600,,58,70,84,96,90,76.0000000000000000,,76.83,67.74,74.8,74.85,76.05,78.1812586206896500
Cayman Islands,CYM,1646.67297,1233.567,1013.158,1267.682,1575.187467,516.439709453182,0.01398342516703681200,498.3877434635596000,2,4,5,3,1,14,19.0000000000000000,77.13,69.93,65.24,72.275,76.075,72.625,73.3139482758620700
Cyprus,CYP,406.5143262,198.9163,213.938,404.4424,383.3767089,510.050768266449,0.01447684371761054500,515.9738323556571000,20,41,35,24,27,15,17.0000000000000000,57.67,52.4,49.82,61.25,61.075,61.525,63.6515000000000000
Czechia,CZE,,,44.24571,145.1049,163.301549,114.22075002177,0.00304936509047694700,108.6833996882187600,,,81,70,67,92,92.0000000000000000,,,35.18,52.925,55.4,50,47.0475000000000000
Germany,DEU,669.7714873,738.3376,701.8712,768.9534,499.7193618,680.656109360453,0.02165284083138896000,771.7358481647575000,9,8,8,7,14,7,6.0000000000000000,57.13,59.47,56.36,59.1,51.725,56.7,59.1190000000000100
Dominica,DMA,12.45284756,26.94115,21.31418,62.02435,53.75459323,43.8971151015247,0.00079536624890850210,28.3479036992325430,72,77,89,96,118,128,133.0000000000000000,79.87,78.53,76.16,77.325,73.65,65.175,59.6131551724137900
Denmark,DNK,121.6806958,63.11788,38.20438,166.1187,103.5213067,139.920728650272,0.00225617515372866800,80.4130626290368000,49,66,83,61,97,80,106.0000000000000000,39.6,32.6,30.87,52.5,45.325,48.95,39.0315000000000000
Dominican Republic,DOM,,193.7889,,147.0888,86.68009359,125.936550498231,0.00424863414812824900,151.4269330006052600,,42,,69,107,84,74.0000000000000000,,73.1,,71.6,58.725,64.725,62.4160000000000000
Algeria,DZA,,,,,400.5574352,335.084734486588,0.00984794940820821500,350.9939249269248000,,,,,23,34,33.0000000000000000,,,,,79.625,79.075,76.7000000000000000
Ecuador,ECU,,,,,50.65986558,72.8240981066744,0.00117329101088974970,41.8176414117668300,,,,,120,116,128.0000000000000000,,,,,47.2125,52.225,44.7477241379310300
Egypt,EGY,,,,,241.9304224,211.380977536261,0.00798439217235935600,284.5742834946308000,,,,,46,56,41.0000000000000000,,,,,71.375,68.25,69.7745000000000000
Spain,ESP,98.79348649,111.3811,77.46602,213.8851,164.2963027,345.885712125912,0.00959134574442446600,341.8482314054880400,54,56,66,52,66,29,34.0000000000000000,33.93,35.6,32.69,47.7,43.95,56.575,54.6085000000000100
Estonia,EST,,,52.93182,79.46701,46.03418673,46.8513248291558,0.00184527634740998060,65.7680864213630200,,,77,93,121,125,115.0000000000000000,,,44.24,50.85,43.05,44.2,46.0785000000000050
Finland,FIN,,,19.43176,142.2335,119.3438966,118.958377851446,0.00319334794815733740,113.8151389208871000,,,90,71,87,88,91.0000000000000000,,,31.38,52.7,52.125,51.8,49.7495000000000000
Fiji,FJI,,,,,,57.8165245316051,0.00200543044014989500,71.4761898319106000,,,,,,121,113.0000000000000000,,,,,,70.3,77.3805000000000000
France,FRA,312.3447133,190.9599,241.9387,404.1754,350.5328628,342.947734941308,0.01277529873330661600,455.3285215681374000,30,43,31,25,33,30,21.0000000000000000,53.85,40.97,42.54,51.65,49.9,47.875,51.7304999999999900
United Kingdom,GBR,516.4732436,361.325,380.2413,423.76,534.6489772,546.906403786103,0.01363518896097982600,485.9761450993636000,13,21,15,23,12,13,20.0000000000000000,44.53,39.87,40.84,42.35,46.2,47.175,44.8160000000000000
Guernsey,GGY,402.3383479,419.3564,339.3795,658.9188,564.5566629,610.370358389219,0.01873012035812520600,667.5662299171173000,21,15,17,10,11,10,9.0000000000000000,65.4,67.4,63.56,72.45,70.65,70.65,75.4149999999999900
Ghana,GHA,146.8078402,109.9242,139.184,68.85175,54.46927623,166.974162606216,0.00362783050114173600,129.3006710111673400,45,57,48,95,117,70,84.0000000000000000,79,66.33,67.11,61.75,51.7,52.675,47.1372758620689600
Gibraltar,GIB,174.6427276,147.8179,109.3385,107.4421,359.894185,109.672786965682,0.00269673886006863300,96.1153350574196800,44,49,55,83,30,96,96.0000000000000000,78.4,78.6,67.09,70.825,69.475,66.775,69.2115000000000000
Gambia,GMB,,,,34.51403,37.71817321,20.9445083691393,0.00167901559864892520,59.8423337240256150,,,,106,124,138,117.0000000000000000,,,,76.625,74.875,72.725,70.3445000000000100
Greece,GRC,,,37.23742,118.5833,91.6458191,103.197623112826,0.00390216340635028500,139.0782581152905700,,,85,80,103,99,81.0000000000000000,,,36.4,57.875,51.475,52.825,49.1355000000000000
Grenada,GRD,57.60750966,55.7658,42.17658,44.60537,34.5581084,35.8128087724807,0.00162586449997216180,57.9479583606442800,62,70,82,101,126,132,119.0000000000000000,82.67,78.13,75.89,77.075,70.55,65.9,64.5860344827586000
Guatemala,GTM,174.8035251,142.4216,177.1868,123.6272,162.1515523,265.185704271828,0.00772947578297694840,275.4887266615549000,43,51,39,78,69,45,44.0000000000000000,80.53,77.2,75.69,73.1,73.5,74.75,77.5585000000000100
Guam,GUM,,,,,,31.8871036558588,0.00115602256746638270,41.2021712785130800,,,,,,134,129.0000000000000000,,,,,,70.3,70.0660000000000000
Hong Kong,HKG,1370.740769,1283.445,1259.422,1243.678,1035.294758,926.77899139798,0.03117986017923528300,1111.2914018283645000,4,3,2,4,4,4,4.0000000000000000,73.27,71.73,72,71.05,66.375,64.95,69.6160172413793100
